"Table 1.2.  All Returns: Adjusted Gross Income, Deductions,
and Tax Items, by Size of Adjusted Gross Income 
and by Filing Status, Tax Year 2019 (Filing Year 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   $10,000 under $15,000","11,087,737","138,230,399","155,024","3,619,552","10,930,705","161,049,209","3,795,632","5,476,460","2,363,042","341,676","2,363,049","341,768","1,132,673","14,286,077","21,071","711,929","1,111,603","28,116,089",**,**,**,**,**,**,"174,364","2,150,570","9,068","92,216","165,296","1,982,414","79,670","147,673",**,**,**,**,"2,150,882","27,116,941","7,940","148,865","2,140,934","39,161,712",**,**,**,**,**,**,"7,629,818","94,676,810","116,946","2,666,542","7,512,872","91,788,993","3,711,947","5,305,868","2,301,537","330,975","2,301,537","330,975",,
"   $15,000 under $20,000","10,039,446","175,255,963","183,296","4,447,639","9,853,834","151,552,461","7,077,121","32,084,927","5,096,664","2,424,938","5,097,694","2,425,268","1,281,359","22,488,765","17,404","710,108","1,263,955","31,886,735",0,0,**,**,**,**,"191,419","3,342,130","9,367","87,881","180,740","2,168,387","187,501","1,032,877",**,**,**,**,"2,371,229","41,435,776","11,588","251,586","2,358,636","43,136,592","775,284","633,020",**,**,**,**,"6,195,440","107,989,291","144,936","3,398,063","6,050,503","74,360,747","6,114,336","30,419,030","4,940,027","2,348,712","4,940,027","2,348,712",," "
"   $20,000 under $25,000","9,493,968","213,660,160","235,786","5,806,896","9,258,181","145,391,131","8,067,488","66,498,983","5,193,441","4,928,478","5,193,441","4,928,510","1,494,457","33,707,604","25,066","971,288","1,469,391","36,962,346","136,175","82,935","37,555","2,489","37,555","2,489","217,256","4,934,200","8,651","131,924","208,605","2,515,525","215,243","2,203,778","185,172","186,938","185,172","186,970","2,143,711","48,227,450","12,992","299,413","2,130,719","39,046,027","2,133,818","8,606,762","73,911","19,093","73,911","19,093","5,638,544","126,790,907","189,077","4,404,271","5,449,467","66,867,233","5,582,252","55,605,508","4,896,803","4,719,958","4,896,803","4,719,958",,
"   $25,000 under $30,000","9,289,939","254,877,708","263,065","6,018,057","9,024,802","143,656,432","9,004,836","104,591,101","5,659,877","7,714,894","5,659,877","7,714,894","1,597,114","43,837,954","30,632","1,090,995","1,566,482","39,301,349","1,351,749","3,576,127","520,726","118,238","520,726","118,238","257,342","7,122,384","14,701","150,306","241,548","2,942,421","257,029","3,950,306","209,402","331,179","209,402","331,179","2,142,415","58,850,024","17,397","392,277","2,125,019","38,893,310","2,137,092","19,250,929","180,382","92,428","180,382","92,428","5,293,068","145,067,346","200,336","4,384,479","5,091,754","62,519,353","5,258,967","77,813,738","4,749,368","7,173,050","4,749,368","7,173,050",,
"   $30,000 under $40,000","16,090,602","560,073,192","649,622","15,761,578","15,438,884","248,913,048","15,992,311","293,267,359","11,034,973","22,644,687","11,034,973","22,644,687","3,132,019","109,669,742","91,310","3,505,255","3,039,616","75,993,779","3,093,829","29,720,383","1,458,822","1,139,434","1,458,822","1,139,434","526,966","18,413,244","49,738","713,748","476,226","5,717,856","525,883","11,763,114","479,604","1,084,128","479,604","1,084,128","3,536,306","122,438,486","72,265","1,720,514","3,464,041","63,396,253","3,529,816","56,719,982","614,586","604,771","614,586","604,771","8,895,310","309,551,720","436,309","9,822,060","8,459,001","103,805,160","8,842,783","195,063,879","8,481,961","19,816,354","8,481,961","19,816,354",,
"   $40,000 under $50,000","12,503,041","560,258,808","806,429","19,777,794","11,696,613","194,004,941","12,449,975","343,880,427","10,134,526","29,047,640","10,135,556","29,047,785","3,077,801","138,292,351","134,442","4,932,700","2,943,360","73,207,665","3,058,412","59,075,618","1,734,757","2,806,351","1,734,757","2,806,351","452,735","20,347,965","39,101","619,293","413,635","5,030,563","452,730","14,582,033","428,391","1,439,048","429,421","1,439,193","2,270,449","101,363,571","106,514","2,688,908","2,163,935","39,594,140","2,267,393","58,502,458","1,389,422","1,962,073","1,389,422","1,962,073","6,702,055","300,254,921","526,373","11,536,894","6,175,682","76,172,573","6,671,440","211,720,318","6,581,956","22,840,168","6,581,956","22,840,168",,
"   $50,000 under $75,000","22,238,948","1,366,892,948","2,455,307","62,108,500","19,781,637","359,928,635","22,179,051","937,498,115","19,867,968","92,630,788","19,868,580","92,633,864","8,375,587","524,896,484","477,811","17,118,931","7,897,776","196,325,148","8,355,692","306,983,194","6,586,743","20,712,232","6,587,355","20,714,576","716,324","43,332,281","126,689","2,350,713","588,632","7,153,144","715,317","33,415,429","696,780","3,889,795","696,780","3,890,527","3,047,600","185,555,125","307,845","9,150,784","2,739,755","50,193,469","3,043,415","126,250,621","2,585,363","7,598,102","2,585,363","7,598,102","10,099,437","613,109,058","1,542,961","33,488,072","8,555,474","106,256,874","10,064,627","470,848,871","9,999,082","60,430,659","9,999,082","60,430,659",,
"   $75,000 under $100,000","14,118,568","1,222,947,425","2,314,113","60,920,634","11,804,454","246,978,497","14,099,883","906,342,968","13,557,576","100,253,091","13,557,576","100,254,141","8,247,446","719,490,828","657,831","22,538,694","7,589,615","188,599,268","8,240,629","502,252,639","7,746,661","41,409,874","7,746,661","41,410,301","334,016","28,742,270","95,594","1,883,486","238,420","2,913,752","333,870","23,724,333","329,565","3,569,057","329,565","3,569,657","1,231,109","105,908,319","271,753","7,102,024","959,355","17,555,915","1,230,793","80,597,552","1,212,222","8,409,379","1,212,222","8,409,379","4,305,997","368,806,008","1,288,935","29,396,431","3,017,063","37,909,562","4,294,590","299,768,444","4,269,128","46,864,781","4,269,128","46,864,804",,
"   $100,000 under $200,000","21,997,582","3,004,363,636","5,540,689","172,883,303","16,456,869","376,510,503","21,976,525","2,426,825,968","21,805,245","333,803,960","21,807,901","333,838,228","16,693,362","2,305,069,858","3,201,732","111,825,839","13,491,625","335,586,456","16,682,286","1,835,454,750","16,537,745","230,038,342","16,539,116","230,042,610","311,868","41,058,662","119,674","2,762,627","192,184","2,356,044","311,665","35,461,577","304,621","6,067,095","305,905","6,096,007","1,050,307","137,664,701","426,213","12,576,301","624,093","11,433,492","1,050,251","112,472,445","1,044,208","17,221,234","1,044,208","17,221,373","3,942,044","520,570,415","1,793,070","45,718,537","2,148,967","27,134,511","3,932,323","443,437,195","3,918,672","80,477,289","3,918,672","80,478,238",,
"   $200,000 under $500,000","7,297,883","2,090,808,696","3,389,551","133,958,983","3,908,159","92,071,268","7,295,888","1,830,153,888","7,272,718","344,858,013","7,283,635","348,842,920","6,146,725","1,762,904,792","2,714,166","109,651,255","3,432,551","85,585,094","6,145,710","1,536,999,347","6,130,363","278,731,642","6,136,186","281,492,711","66,430","19,153,453","32,756","1,027,725","33,654","417,203","66,326","17,375,836","63,889","3,883,029","65,157","3,965,296","193,683","55,185,033","114,428","4,339,611","79,113","1,458,168","193,573","48,694,675","191,121","10,956,938","192,938","11,089,751","891,047","253,565,418","528,202","18,940,391","362,841","4,610,804","890,278","227,084,029","887,345","51,286,405","889,355","52,295,162",,
"   $500,000 under $1,000,000","1,162,371","781,920,814","747,317","44,805,288","415,048","9,818,673","1,161,682","711,761,546","1,158,847","177,122,512","1,161,188","181,562,077","996,085","669,871,934","629,697","37,900,883","366,388","9,153,053","995,688","609,892,820","993,867","149,972,341","995,469","153,374,489","14,254","9,814,641","9,982","529,669","4,267","53,059","14,233","9,000,859","13,866","2,319,997","14,094","2,391,872","27,792","18,721,305","19,500","1,016,877","8,292","153,235","27,770","17,128,382","27,411","4,723,934","27,640","4,831,987","124,240","83,512,934","88,139","5,357,860","36,101","459,326","123,991","75,739,484","123,703","20,106,239","123,985","20,963,729",,
"   $1,000,000 under $1,500,000","254,197","305,561,848","182,044","16,039,074","72,154","1,690,046","254,078","278,827,540","253,463","77,833,103","253,955","80,158,295","215,137","258,520,343","152,973","13,110,822","62,164","1,553,600","215,068","236,362,062","214,735","65,957,622","215,010","67,756,082","3,815","4,586,951","2,866","319,991",949,"11,561","3,810","4,141,284","3,783","1,114,932","3,787","1,157,886","6,189","7,512,736","4,423","434,461","1,766","32,546","6,187","6,805,403","6,091","1,942,510","6,171","1,988,449","29,058","34,941,818","21,782","2,173,800","7,276","92,339","29,013","31,518,791","28,854","8,818,040","28,988","9,255,878",,
"   $1,500,000 under $2,000,000","103,075","176,961,208","77,291","9,417,509","25,782","599,498","102,986","161,063,606","102,594","46,419,980","102,962","47,946,006","86,513","148,361,661","64,581","7,604,023","21,931","547,292","86,458","135,274,342","86,235","39,150,853","86,457","40,319,944","2,061","3,567,551","1,650","157,453",411,"5,143","2,059","3,285,924","2,020","944,556","2,048","984,929","2,604","4,495,305","1,974","236,589",630,"11,514","2,604","4,079,569","2,553","1,164,467","2,594","1,196,317","11,897","20,536,691","9,087","1,419,444","2,809","35,549","11,866","18,423,770","11,787","5,160,103","11,863","5,444,816",,
"   $2,000,000 under $5,000,000","143,514","425,088,995","114,200","22,525,236","29,310","677,196","143,387","386,284,888","143,016","112,720,556","143,397","116,967,024","119,067","352,447,110","94,591","17,839,492","24,476","611,874","118,993","321,013,021","118,822","94,040,961","119,006","97,322,552","3,411","10,318,554","2,823","702,052",583,"7,200","3,398","9,306,865","3,349","2,659,826","3,396","2,785,805","3,314","9,792,354","2,553","470,890",760,"13,874","3,313","8,980,336","3,253","2,631,991","3,302","2,712,678","17,723","52,530,977","14,232","3,512,801","3,490","44,248","17,684","46,984,665","17,592","13,387,778","17,694","14,145,989",,
"   $5,000,000 under $10,000,000","34,738","237,781,553","29,741","13,247,437","4,998","113,687","34,711","215,932,691","34,600","62,034,772","34,713","64,807,815","28,287","193,451,676","24,273","10,412,042","4,014","100,308","28,265","175,958,917","28,205","50,995,411","28,275","53,116,958","1,095","7,698,395",954,"475,651",141,"1,765","1,095","6,979,476","1,078","1,900,631","1,093","2,019,788",821,"5,576,719",655,"230,297",166,"3,066",821,"5,191,947",806,"1,379,684",817,"1,444,372","4,535","31,054,763","3,859","2,129,448",676,"8,548","4,530","27,802,350","4,511","7,759,046","4,528","8,226,698",,
"   $10,000,000 or more","20,876","590,230,011","18,901","49,622,788","1,975","44,307","20,861","525,522,461","20,789","138,037,618","20,865","146,947,828","16,591","454,755,445","15,048","35,884,562","1,543","38,466","16,582","407,441,457","16,538","107,921,663","16,582","114,504,939",916,"36,820,775",858,"4,223,586",58,703,913,"31,749,763",903,"7,665,542",915,"8,355,638",522,"13,816,932",449,"799,361",73,"1,335",522,"12,779,851",514,"3,243,155",522,"3,447,989","2,847","84,836,859","2,546","8,715,279",301,"3,802","2,844","73,551,390","2,834","19,207,258","2,846","20,639,262",,
"Taxable returns, total","104,005,799","11,210,096,539","15,799,889","581,735,605","88,196,745","1,555,680,466","103,996,096","8,924,371,669","** 103,985,756","** 1,553,106,552","104,005,800","1,581,352,160","42,226,483","7,355,369,655","7,826,643","370,375,447","34,398,354","858,090,891","42,223,850","6,012,621,557","** 42,216,263","** 1,083,085,105","42,226,483","1,104,210,071","2,938,446","250,147,713","500,399","15,448,280","2,432,522","29,493,197","2,936,980","202,867,940","2,933,501","37,151,880","2,938,446","38,355,362","7,347,508","606,273,600","1,140,050","33,987,798","6,207,182","113,465,799","7,347,174","453,165,900","7,345,268","61,955,424","7,347,508","62,624,519","51,493,363","2,998,305,571","6,332,796","161,924,080","45,158,686","554,630,579","51,488,092","2,255,716,272","51,490,725","370,914,143","51,493,363","376,162,208",,
