function,parent,parent_plain,child,child_plain,fiscal_year,federal_spending,percent_total,spending_source_url,spending_source_url_name
agency,Independent Agencies,Independent Agencies,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,2021,-6775169533,-49.99,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,,,2021,235193000000,3.45,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Agricultural Research Service,Agricultural Research Service,2021,1494694454,0.64,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Rural Housing Service,Rural Housing Service,2021,1832526534,0.78,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Rural Utilities Service,Rural Utilities Service,2021,2594757424,1.1,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Foreign Agricultural Service,Foreign Agricultural Service,2021,2230569500,0.95,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Food and Nutrition Service,Food and Nutrition Service,2021,166569000000,70.82,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Forest Service,Forest Service,2021,8552166458,3.64,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Other,Other,2021,26445498421,11.24,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-4256166020,-1.81,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,6917486,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,National Institute of Food and Agriculture,National Institute of Food and Agriculture,2021,1409888842,0.6,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Animal and Plant Health Inspection Service,Animal and Plant Health Inspection Service,2021,1428777700,0.61,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Food Safety and Inspection Service,Food Safety and Inspection Service,2021,1087630452,0.46,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Agricultural Marketing Service,Agricultural Marketing Service,2021,2001988783,0.85,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Risk Management Agency,Risk Management Agency,2021,6742189857,2.87,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Farm Service Agency,Farm Service Agency,2021,12500821539,5.32,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Natural Resources Conservation Service,Natural Resources Conservation Service,2021,4325255459,1.84,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Agriculture,Department of Agriculture,Rural Development,Rural Development,2021,227034513,0.1,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,,,2021,-273439000000,-4.01,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,Other Interest,Other Interest,2021,-45857,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,"Employer Share, Employee Retirement",Employer Contribution to Employee Retirement,2021,-110687000000,40.48,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,Interest Received by Trust Funds,Interest Received by Trust Funds,2021,-149579000000,54.7,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,Rents and Royalties on the Outer Continental Shelf Lands,Rents and Royalties on the Outer Continental Shelf Lands,2021,-4230842776,1.55,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,Spectrum Auction Proceeds,Spectrum Auction Proceeds,2021,-4476093292,1.64,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Undistributed Offsetting Receipts,Offsetting Revenue Collected But Not Attributed to Agencies,Spectrum Relocation Activities,Spectrum Relocation Activities,2021,-4466078542,1.63,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,,,2021,13133928911,0.19,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Economic Development Administration,Economic Development Administration,2021,789160131,6.01,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Offsetting Governmental Receipts,Offsetting Revenue,2021,-2435601,-0.02,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Bureau of the Census,Bureau of the Census,2021,3025287479,23.03,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,International Trade Administration,International Trade Administration,2021,524945957,4,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,2021,5826382251,44.36,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,National Institute of Standards and Technology,National Institute of Standards and Technology,2021,1115755621,8.5,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,National Telecommunications and Information Administration,National Telecommunications and Information Administration,2021,1507000994,11.47,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Other,Other,2021,368556398,2.81,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-17204371,-0.13,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Commerce,Department of Commerce,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-3519947,-0.03,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,,,2021,717585000000,10.52,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Military Personnel,Military Personnel,2021,172580000000,24.05,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Trust Funds,Trust Funds,2021,544230362,0.08,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-1989735288,-0.28,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-133510209,-0.02,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Offsetting Governmental Receipts,Offsetting Revenue,2021,-1021507,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Operation and Maintenance,Operation and Maintenance,2021,286181000000,39.88,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,International Reconstruction and Other Assistance,International Reconstruction and Other Assistance,2021,665559,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Procurement,Procurement,2021,141446000000,19.71,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,"Research, Development, Test, and Evaluation","Research, Development, Test, and Evaluation",2021,105665000000,14.73,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Military Construction,Military Construction,2021,9146559191,1.27,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Family Housing,Family Housing,2021,1449871632,0.2,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Revolving and Management Funds,Revolving and Management Funds,2021,2696857325,0.38,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Defense - Military Programs,Department of Defense - Military Programs,Allowances,Allowances,2021,0,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,,,2021,260381000000,3.82,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Elementary and Secondary Education,Office of Elementary and Secondary Education,2021,71345608987,27.4,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Other,Other,2021,295220798,0.11,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-6637005648,-2.55,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,12765590,0,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Innovation and Improvement,Office of Innovation and Improvement,2021,893070831,0.34,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of English Language Acquisition,Office of English Language Acquisition,2021,671891689,0.26,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Special Education and Rehabilitative Services,Office of Special Education and Rehabilitative Services,2021,15939215614,6.12,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Vocational and Adult Education,Office of Vocational and Adult Education,2021,1827707133,0.7,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Postsecondary Education,Office of Postsecondary Education,2021,4440601974,1.71,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Office of Federal Student Aid,Office of Federal Student Aid,2021,170400000000,65.44,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Institute of Education Sciences,Institute of Education Sciences,2021,555742053,0.21,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Education,Department of Education,Departmental Management,Departmental Management,2021,636145497,0.24,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,,,2021,33694416248,0.49,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,National Nuclear Security Administration,National Nuclear Security Administration,2021,16543428810,49.1,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Environmental and Other Defense Activities,Environmental and Other Defense Activities,2021,6962555444,20.66,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Energy Programs,Energy Programs,2021,13586307607,40.32,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Power Marketing Administration,Power Marketing Administration,2021,-49551826,-0.15,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Departmental Administration,Departmental Administration,2021,263640471,0.78,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-1878993947,-5.58,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-1701867793,-5.05,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Energy,Department of Energy,Offsetting Governmental Receipts,Offsetting Revenue,2021,-31102518,-0.09,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,,,2021,1466670000000,21.51,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Food and Drug Administration,Food and Drug Administration,2021,3303349572,0.23,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Administration for Community Living,Administration for Community Living,2021,2662312972,0.18,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Departmental Management,Departmental Management,2021,71562601391,4.88,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Other,Other,2021,839649185,0.06,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-181441000000,-12.37,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-440199000000,-30.01,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Health Resources and Services Administration,Health Resources and Services Administration,2021,14231866054,0.97,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Indian Health Service,Indian Health Service,2021,9865724801,0.67,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Centers for Disease Control and Prevention,Centers for Disease Control and Prevention,2021,11268072623,0.77,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,National Institutes of Health,National Institutes of Health,2021,38867653366,2.65,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Substance Abuse and Mental Health Services Administration,2021,5909161495,0.4,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Agency for Healthcare Research and Quality,Agency for Healthcare Research and Quality,2021,329528403,0.02,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Centers for Medicare and Medicaid Services,2021,1859390000000,126.78,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Health and Human Services,Department of Health and Human Services,Administration for Children and Families,Administration for Children and Families,2021,70078817077,4.78,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,,,2021,91068864328,1.34,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Departmental Management and Operations,Departmental Management and Operations,2021,2097636543,2.3,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Science and Technology,Science and Technology,2021,748977099,0.82,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Domestic Nuclear Detection Office,Domestic Nuclear Detection Office,2021,385774575,0.42,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Other,Other,2021,532221521,0.58,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Proprietary Receipts from the Public,Revenue from Business-Type Activities,2021,-1180451156,-1.3,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Intrabudgetary Transactions,Budgetary Transactions Within the Agency,2021,-54762231,-0.06,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Offsetting Governmental Receipts,Offsetting Revenue,2021,-10901419183,-11.97,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Citizenship and Immigration Services,Citizenship and Immigration Services,2021,4218904961,4.63,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,United States Secret Service,United States Secret Service,2021,2673657360,2.94,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Transportation Security Administration,Transportation Security Administration,2021,6927195833,7.61,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,Immigration and Customs Enforcement,Immigration and Customs Enforcement,2021,8218397385,9.02,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,U.S. Customs and Border Protection,U.S. Customs and Border Protection,2021,17766965128,19.51,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,United States Coast Guard,United States Coast Guard,2021,12296401555,13.5,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
agency,Department of Homeland Security,Department of Homeland Security,National Protection and Programs Directorate,National Protection and Programs Directorate,2021,1836974069,2.02,https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government,Monthly Treasury Statement
